PADStatus,NVCClass,ManageName,nCellSum
1,Agricultural & Developed Vegetation,State Department of Conservation,6925
1,Agricultural & Developed Vegetation,U.S. Fish & Wildlife Service,431623
1,Aquatic Vegetation,Forest Service,580
1,Aquatic Vegetation,National Park Service,174
1,Desert & Semi-Desert,City Land,461
1,Developed & Other Human Use,County Land,22412
1,Developed & Other Human Use,Other or Unknown State Land,71869
1,Developed & Other Human Use,State Department of Natural Resources,39415
1,Forest & Woodland,Tennessee Valley Authority,5184
1,Forest & Woodland,Unknown,838197
1,Introduced & Semi Natural Vegetation,Joint,19
1,Introduced & Semi Natural Vegetation,State Department of Conservation,725
1,Introduced & Semi Natural Vegetation,State Fish and Wildlife,113
1,Introduced & Semi Natural Vegetation,U.S. Fish & Wildlife Service,55633
1,Nonvascular & Sparse Vascular Rock Vegetation,State Fish and Wildlife,5
1,Open Rock Vegetation,State Department of Natural Resources,618
1,Open Water,Army Corps of Engineers,68721
1,Open Water,Other,55
1,Polar & High Montane Scrub, Grassland & Barrens,City Land,3941
1,Recently Disturbed or Modified,State Department of Conservation,58517
1,Shrub & Herb Vegetation,Army Corps of Engineers,2887
1,Shrub & Herb Vegetation,Other,4
2,Agricultural & Developed Vegetation,City Land,105793
2,Agricultural & Developed Vegetation,Regional Agency Land,58428
2,Agricultural & Developed Vegetation,State Department of Conservation,159090
2,Desert & Semi-Desert,State Fish and Wildlife,5217942
2,Developed & Other Human Use,County Land,228944
2,Developed & Other Human Use,Other,473
2,Developed & Other Human Use,Other or Unknown State Land,279915
2,Developed & Other Human Use,Unknown,798795
2,Forest & Woodland,County Land,1417458
2,Forest & Woodland,Other or Unknown State Land,7286124
2,Forest & Woodland,State Department of Natural Resources,13882741
2,Forest & Woodland,Unknown,19766139
2,Introduced & Semi Natural Vegetation,City Land,13283
2,Introduced & Semi Natural Vegetation,Joint,8848
2,Introduced & Semi Natural Vegetation,State Department of Conservation,10914
2,Nonvascular & Sparse Vascular Rock Vegetation,Joint,8650
2,Nonvascular & Sparse Vascular Rock Vegetation,State Fish and Wildlife,25436
2,Open Rock Vegetation,National Park Service,246748
2,Open Rock Vegetation,State Department of Natural Resources,36052
2,Open Water,Unknown,974133
2,Polar & High Montane Scrub, Grassland & Barrens,Regional Water Districts,344
2,Polar & High Montane Scrub, Grassland & Barrens,State Fish and Wildlife,10462
2,Recently Disturbed or Modified,Natural Resources Conservation Service,976452
2,Recently Disturbed or Modified,Other or Unknown Local Government,2494
2,Recently Disturbed or Modified,State Department of Conservation,161984
