,NVCClass,NVCGroup,nGroupTotalCells,PAD1,PAD2,PAD3,PAD4,PAD1 km2,PAD2 km2,PAD3 km2,PAD4 km2,% Protected 1 & 2,"% Protected 1, 2 & 3"
0,Forest & Woodland,Appalachian Central Interior Mesic Forest,93498258,1112730.0,3456038.0,5423844.0,83505646.0,1001.457,3110.4341999999997,4881.4596,75155.0814,4.8864739276746745,10.68748468019586
1,Shrub & Herb Vegetation,Appalachian Mafic Glade,90,0.0,51.0,0.0,39.0,0.0,0.045899999999999996,0.0,0.0351,56.666666666666664,56.666666666666664
2,Forest & Woodland,Appalachian Oak / Chestnut Forest,122684952,3173985.0,5198432.0,16635805.0,97676730.0,2856.5865,4678.5887999999995,14972.2245,87909.057,6.824322676508851,20.384098939860205
3,Forest & Woodland,Appalachian-Allegheny Northern Hardwood - Conifer Forest,68819751,1661971.0,1723112.0,14374212.0,51060456.0,1495.7739,1550.8008,12936.790799999999,45954.4104,4.918766706958879,25.8055205692331
4,Shrub & Herb Vegetation,Arid West Interior Freshwater Marsh,4489004,202808.0,955566.0,567215.0,2763415.0,182.5272,860.0094,510.4935,2487.0735,25.804699661662138,38.440353361235594
5,Shrub & Herb Vegetation,Atlantic & Gulf Coast Fresh-Oligohaline Tidal Marsh,1196644,27028.0,333808.0,64826.0,770982.0,24.3252,300.42719999999997,58.343399999999995,693.8838,30.15399734591073,35.57131444272482
6,Shrub & Herb Vegetation,Atlantic & Gulf Coastal Brackish Tidal Marsh,292233,1371.0,57618.0,34712.0,198532.0,1.2339,51.8562,31.2408,178.6788,20.18560532178091,32.063798407435165
7,Shrub & Herb Vegetation,Atlantic & Gulf Coastal High Salt Marsh,24702655,1472498.0,4113341.0,1901684.0,17215132.0,1325.2482,3702.0069,1711.5156,15493.6188,22.612302199905233,30.310600216859278
8,Shrub & Herb Vegetation,Atlantic & Gulf Coastal Interdunal Marsh & Wet Prairie,2502,540.0,772.0,380.0,810.0,0.486,0.6948,0.34199999999999997,0.729,52.438049560351715,67.62589928057554
9,Shrub & Herb Vegetation,Atlantic & Gulf Coastal Plain Pondshore & Wet Prairie,1568855,79575.0,126717.0,359392.0,1003171.0,71.61749999999999,114.0453,323.45279999999997,902.8539,13.149207543080783,36.05712446338253
10,Shrub & Herb Vegetation,Atlantic & Gulf Coastal Plain Seep,8262,10.0,39.0,13.0,8200.0,0.009,0.0351,0.0117,7.38,0.5930767368675866,0.7504236262406196
11,Shrub & Herb Vegetation,Atlantic & Gulf Coastal Saline Flat & Panne,1118094,167274.0,78986.0,706.0,871128.0,150.54659999999998,71.0874,0.6354,784.0151999999999,22.024981799383596,22.0881249698147
12,Shrub & Herb Vegetation,Atlantic & Gulf Coatal Plain River & Basin Freshwater Marsh,2809804,233639.0,156376.0,843877.0,1575912.0,210.27509999999998,140.73839999999998,759.4893,1418.3208,13.880505544158952,43.91381035830258
13,Forest & Woodland,Bald-cypress - Tupelo Floodplain Forest,31666054,399998.0,2725930.0,3102198.0,25437928.0,359.9982,2453.337,2791.9782,22894.1352,9.871542567318302,19.6681468426726
14,Nonvascular & Sparse Vascular Rock Vegetation,Barren,9137165,595666.0,333344.0,787426.0,7420729.0,536.0994,300.0096,708.6834,6678.6561,10.167376861422554,18.785214013318136
15,Shrub & Herb Vegetation,Blackland & Coastal Tallgrass Prairie,4405736,25663.0,36095.0,4783.0,4339195.0,23.0967,32.4855,4.3046999999999995,3905.2754999999997,1.4017635191940687,1.5103265379496185
16,Open Rock Vegetation,"California Cliff, Scree & Rock Vegetation",251027,102737.0,21021.0,52361.0,74908.0,92.4633,18.9189,47.1249,67.4172,49.30067283598976,70.15938524541184
17,Forest & Woodland,California Coastal Redwood Forest,7523779,477907.0,973167.0,783702.0,5289003.0,430.11629999999997,875.8503,705.3317999999999,4760.1026999999995,19.286504826896163,29.702839490633632
